HP Density Table Inversion Results
================================================================================

Exponent n:
  True:       4.000000
  Hi-fi:      3.999999
  Cannonball: 4.004523

log(rho_min) values:
--------------------------------------------------------------------------------
  Alt (km)            True           Hi-fi      Cannonball    Err Hi-fi      Err Cbl
--------------------------------------------------------------------------------
       360      -26.057418      -26.057418      -26.058211    -0.000000    -0.000793
       380      -26.445009      -26.445009      -26.436824    -0.000000     0.008185
       400      -26.820535      -26.820536      -26.828728    -0.000000    -0.008193
       420      -27.187618      -27.187618      -27.182934    -0.000000     0.004684
       440      -27.543926      -27.543927      -27.549419    -0.000000    -0.005493
       460      -27.892256      -27.892256      -27.842235    -0.000000     0.050021
       480      -28.233597      -28.233597      -28.313393     0.000000    -0.079796
       500      -28.568535      -28.568537      -28.686292    -0.000001    -0.117757
       520      -28.897224      -28.897222      -28.931140     0.000002    -0.033916
       540      -29.219676      -29.219695      -29.027264    -0.000019     0.192413
       560      -29.536173      -29.536107      -29.863256     0.000066    -0.327083
       580      -29.845595      -29.845781      -29.579744    -0.000186     0.265851
       600      -30.148038      -30.147830      -30.602848     0.000207    -0.454810
       620      -30.442434      -30.442540      -29.572805    -0.000107     0.869629
       640      -30.727901      -30.727848      -30.305940     0.000052     0.421961
       660      -31.003631      -31.003664      -31.931966    -0.000033    -0.928335
       680      -31.268447      -31.268432      -30.528576     0.000015     0.739871
       700      -31.521772      -31.521783      -37.670962    -0.000011    -6.149190
       720      -31.761822      -31.761818      -36.186638     0.000005    -4.424815


log(rho_max) values:
--------------------------------------------------------------------------------
  Alt (km)            True           Hi-fi      Cannonball    Err Hi-fi      Err Cbl
--------------------------------------------------------------------------------
       360      -25.038008      -25.038008      -25.042949    -0.000000    -0.004942
       380      -25.332946      -25.332946      -25.333606    -0.000000    -0.000660
       400      -25.617185      -25.617185      -25.623373    -0.000000    -0.006188
       420      -25.893366      -25.893366      -25.890344    -0.000000     0.003022
       440      -26.159697      -26.159697      -26.156603    -0.000000     0.003093
       460      -26.418485      -26.418485      -26.418249    -0.000000     0.000236
       480      -26.670905      -26.670905      -26.679193    -0.000000    -0.008288
       500      -26.917091      -26.917091      -26.874493     0.000000     0.042599
       520      -27.157897      -27.157898      -27.186123    -0.000001    -0.028225
       540      -27.394369      -27.394366      -27.422331     0.000003    -0.027962
       560      -27.626034      -27.626049      -27.609504    -0.000016     0.016529
       580      -27.854540      -27.854498      -27.887187     0.000041    -0.032647
       600      -28.078872      -28.078920      -28.186142    -0.000048    -0.107270
       620      -28.299866      -28.299845      -28.500808     0.000021    -0.200942
       640      -28.517510      -28.517518      -28.610618    -0.000008    -0.093107
       660      -28.732137      -28.732131      -28.718718     0.000005     0.013419
       680      -28.943693      -28.943696      -29.030593    -0.000003    -0.086900
       700      -29.151990      -29.151988      -29.266341     0.000002    -0.114351
       720      -29.357555      -29.357556      -29.263470    -0.000001     0.094085
